OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
57,201642544,SFO-2012CACDFLNU004852,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004852,,WESTSIDE 2,,,,,,2012,7/4/2012 0:00:00,186,1544,Human,Arson/incendiarism,,,,,1.000000000000000,B,38.506180999999998,-122.903588999999997,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
58,201642546,SFO-2012CACDFLNU004913,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU004913,,FELTA,,,,,,2012,7/5/2012 0:00:00,187,1630,Human,Recreation and ceremony,,,,,0.500000000000000,B,38.581667000000003,-122.882817000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
59,201642548,SFO-2012CACDFLNU005002,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005002,,COLEMAN,,,,,,2012,7/7/2012 0:00:00,189,1826,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.320000000000000,B,38.402844000000002,-123.035830000000004,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
60,201642549,SFO-2012CACDFLNU005006,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005006,,GROVE,,,,,,2012,7/7/2012 0:00:00,189,2026,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.293678000000000,-122.507407999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
61,201642556,SFO-2012CACDFLNU005103,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005103,,SHILOH,,,,,,2012,7/10/2012 0:00:00,192,1117,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.500000000000000,B,38.542971000000001,-122.745711999999997,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
62,201642558,SFO-2012CACDFLNU005146,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005146,,GROVE,,,,,,2012,7/11/2012 0:00:00,193,1615,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,3.100000000000000,B,38.293678000000000,-122.507407999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
63,201642560,SFO-2012CACDFLNU005297,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005297,,LIBERTY,,,,,,2012,7/15/2012 0:00:00,197,1317,Human,Missing data/not specified/undetermined,,,,,0.700000000000000,B,38.261685000000000,-122.700880999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
64,201642562,SFO-2012CACDFLNU005318,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005318,,HAMPTON,,,,,,2012,7/16/2012 0:00:00,198,1026,Human,Smoking,,,,,1.000000000000000,B,38.420949999999998,-122.955366999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
65,201642565,SFO-2012CACDFLNU005471,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005471,,DOWITCHER CT  BODEGA_BAY,,,,,,2012,7/20/2012 0:00:00,202,1657,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.307409000000000,-123.011499999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
66,201642566,SFO-2012CACDFLNU005493,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005493,,PORTER,,,,,,2012,7/21/2012 0:00:00,203,0937,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.550105000000002,-122.667851999999996,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
67,201642568,SFO-2012CACDFLNU005498,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005498,,BLOOMFIELD RD / BURNSIDE,,,,,,2012,7/21/2012 0:00:00,203,1219,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.338641000000003,-122.837661999999995,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
68,201642571,SFO-2012CACDFLNU005562,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005562,,GEYSERS,,,,,,2012,7/22/2012 0:00:00,204,1935,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,0.250000000000000,A,38.831485000000001,-123.012096000000000,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
